,cell_class,coord_X,coord_Y
133277,Oligo,0.026847813,0.11612069
91841,Astro,0.052198548,0.38197008
55540,L6 CT,0.16093081,0.06754125
55257,L5 IT,0.06394765,0.1333881
103231,L5 ET,0.02391686,0.035203755
91591,OPC,-0.17348231,0.076835185
264634,Astro,0.14464405,0.13088325
195009,L6 CT,0.4056743,-0.18560994
55282,OPC,-0.43449792,0.059136823
133543,L6 IT,-0.1222322,0.34851304
219894,L5 IT,0.16469944,-0.10447461
264629,VLMC,-0.08054787,-0.3511635
103440,L2/3 IT,-0.24660955,-0.11538215
271124,L5 IT,-0.009386856,-0.08016898
134644,L2/3 IT,-0.2146058,-0.14046139
90469,L5 ET,-0.20624223,0.21479991
194500,L5 IT,0.047583062,0.121198036
133408,L4/5 IT,-0.29721138,0.17202991
55241,Astro,-0.06984531,0.10696676
246649,L6 CT,0.38776618,-0.09435636
271083,Astro,0.06723189,-0.24430484
244946,SMC,-0.24372202,-0.027195405
194203,Endo,-0.11670475,-0.10777227
91496,L4/5 IT,-0.13962127,-0.060430914
104008,L4/5 IT,-0.18632142,0.043351203
53411,L5 IT,0.11090912,0.00091692246
244915,L6 CT,0.4256825,-0.02429989
90316,L5 ET,0.32645038,-0.20947373
103274,L5 IT,0.28363147,-0.23869315
134530,L6 IT,-0.034244772,0.33358586
134500,Lamp5,-0.2889433,-0.16704598
204886,PVM,0.16414754,0.09596998
132006,Peri,0.019801978,-0.09007628
244943,L2/3 IT,-0.42724818,0.10385419
134432,L6 IT,0.18197963,-0.012541868
91635,L5 ET,-0.09742863,0.069467396
89426,Oligo,0.22496392,0.27295035
257423,L5 IT,0.24314605,-0.28740156
257209,L5 IT,-0.08702943,0.045422755
262448,L2/3 IT,-0.4081205,0.0058990903
103406,L4/5 IT,0.080366224,-0.27179337
194182,L5 IT,-0.1437114,0.07525669
91723,Micro,0.07910061,0.26309097
134474,Astro,0.10157335,0.07853203
208706,L5 ET,0.26154858,-0.280721
102275,Micro,-0.052210107,0.30680254
56657,Endo,-0.0008412376,-0.33800957
55512,L2/3 IT,-0.028249288,-0.2875023
103473,Endo,0.05237129,0.36742735
55536,L4/5 IT,-0.13347213,0.03175112
54984,L2/3 IT,-0.20192845,-0.17470405
132016,Oligo,0.2878278,0.15109786
264644,Peri,0.40926993,-0.047285352
90406,Peri,-0.003631141,0.0052228644
208794,L4/5 IT,0.0438175,-0.14644732
246570,Oligo,0.37898353,-0.019193098
90400,Astro,0.25471446,-0.18869418
104061,Micro,-0.3874443,-0.025016846
